id,时间,内容
20783707801,5,华为Pocket2是一款时尚实用的折叠手机，采用玄武水滴铰链结构，几乎无折痕，配色大溪地灰有档次。搭载全焦段三摄模组和超光谱摄像头，支持双向卫星通信，充电续航出色。是全能无遗憾的神器，物超所值。
20811786558,5,"外形外观：非常时尚好看，父母很喜欢
屏幕手感拿着也舒服，而且中间的痕迹也不明显，在所有品牌中是最自然的感觉，
屏幕音效：双扬声器也很舒服，拍照好看
拍照效果：像素高，而且非常舒服握持手感很爽，不愧是折叠屏。"
20767623344,5,遥遥领先，遥遥领先！HUAWEI pocket2女性朋友用真的很适合，美观大方。大溪地灰&quot;灰&quot;常漂亮！给人一种高端大气的感觉。屏幕清晰惊艳，折痕比上一代改善不少很平整。日常生活办公麒麟处理器的性能绰绰有余。总之遥遥领先！
20774640560,5,"外形外观：这外观可以说非常的吸引眼球了。老婆的生日礼物，非常的喜欢。
运行速度：操作流畅。
待机时间：待机时间让苹果机羡慕。
屏幕音效：屏幕折痕保持得非常好。
拍照效果：前置拍照挺不错的。"
20809249212,5,"一直无货，第一时间就在京东下单了, 华为商城试了几次 没抢到, 拍照也是标记好手机质感也是一级棒。好评好评。很适合女生～

外形外观：白色真的好好看，爱不释手
屏幕音效：屏幕清晰，可以折叠小小的，轻松放进口袋
拍照效果：拍照效果真的好好"
20749637934,5,喜欢😍物流很快就到了，小巧方便携带，价格小贵族。送货****态度好，满意🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵🈵支持华为手机
20613459454,3,好看～但是系统没有苹果好
20729528921,5,特别好看又好用   使用方便  流畅  特别是语音服务更适合老年人  感觉使用了该产品人也变年轻自信了
20780277750,5,给家里老人买的，感觉很不错，速度各方面杠杠的，展开后看不出是折叠屏痕迹，摄像头下方的小圆屏设计很有创意，折叠起来后能有效的防止屏幕被刮伤之类的问题，携带也还方便多了，挺不错的。
20767939176,5,外观实在是非常讨女孩子喜欢，送给爱人的礼物，真的很漂亮，也很方便，小屏折叠很可爱，华为手机别讲配置如何，产品质量没的说！
20723214809,5,颜值很惊艳，大溪地高级灰的设计独具魅力。内在是妥妥的华为担当，必须来评价点赞👍。我用的都是华为，华为P10，华为Mate30，到现在这款，以前的都还在用，除了电池可以换，30还和新的一样。教我怎能不选华为👏👏👊
20744473304,5,卖家服务超级好，发货很快，打包很好，到手检查无任何问题，已经开机使用了一段时间了，颜值真的很高，另外华为系统我只能说是嘎嘎好用，不错👍
20806686783,5,这款手机发布时就被它的颜值打败！拍照像素极好，满足我这个拍照达人的需求。信号强度很好，充电速度快，非常满意！
20811973407,5,好看好看太好看了，折痕控制得很好，日常使用基本看不出来，日常使用系统也很流畅，第一次买华为，确实是旗舰水平。
20707446371,5,在京东抢到了，而且用的以旧换新，真的好便宜，直接送货上门也很爽，妈妈过生日给她买的，她很开心，用的也很开心，简单方便，也很大气确实不错6666
20707654220,5,非常好看，白色真的是特别好看，折痕很小，京东购买发货很快，第二天就能到，非常完美，以后还会在京东购买的，遥遥领先！
20719019052,5,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物急了，我彻底急了。当我看到其他人的好评，我感同身受，就好像那些事情真的发生了一样，此时此刻我真的破防了，我怎么可以不给好评！！
20744038523,5,"喜欢华为的品牌，上部是华为X5,想换个小的，这个是很漂亮的设计感。信赖平台信赖品牌，物流速度超快，还能以旧换新，喜欢京东，爱了！点赞！"
20705214568,5,"特别好看    
    适合女孩子用   
      当天就送到了
    就是没有白色    
   紫色也不错"
20769845150,5,预约新品，国货精品，品质精选，值得购买！特意用了一段时间再来评价，外观确实精致，硬件配置也很强大，折叠的痕迹还是没有完全避免！
20761544455,5,华为折叠手机时尚首选，送给对象，选的白色她很喜欢。折叠后小巧拿在手里很精致！京东物流很给力，两天到货！
20808712114,5,"外形外观：非常时尚，很有设计感
屏幕音效：屏幕显示效果杠杠的，同时屏幕也大看视频很爽
拍照效果：很不错，还有测紫外线之类的功能很有意思
运行速度：快，没有卡顿
待机时间：长，耐用"
20781501399,5,"这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择。
外形外观：小折叠手机，很方便，携带方便
拍照效果：和mate60p差不多，也很清晰"
20765132847,5,终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的
20727124681,5,评论真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物
20805098915,5,心心念念的华为到货了，外观满意、手感满意。防晒监测是女生的贴心服务，华为的人性化到位了。折叠后非常剩空间，女生再小的包包也能放，打开后又是超大屏幕，清晰度遥遥领先！看剧不再皱眉。值！👍
20768679127,5,看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！物流和产品都不错，性价比高，赞赞赞
20780280242,3,给家里老人买的，感觉很不错，速度各方面杠杠的，展开后看不出是折叠屏痕迹，摄像头下方的小圆屏设计很有创意，折叠起来后能有效的防止屏幕被刮伤之类的问题，携带也还方便多。让人不满的是耳机，必须用华为自己的，好像第三方耳机插上去都没有效果。
20752105094,5,"电池容量有点小了，正常用一天从早到晚充电一次基本不够用。
外观颜值真的高，适合女性使用，外屏有基本的信息显示，挺实用的。
有无线充电功能，充电就方便多了。
打开后用了几天屏幕上从侧面或者不是正常的直视角度看基本都能看到折痕，多少会有点影响手感和颜值这个问题要是能解决就完美了。
拍照自带美颜，连打视频都是自动磨皮了的，其实不太喜欢，现在的人都用美颜否定自己的长相真的挺没必要的。"
20805493551,5,"外形外观：外观时尚，质感在线，大溪地灰确实好看
屏幕音效：屏幕修长单手使用手感好，屏幕整理观感挺好，基本上忽略折痕
拍照效果：后置自拍很好用，拍照好看
运行速度：运行流畅，不存在卡顿，但有发热
待机时间：折叠屏续航一般"
20776783213,4,外观颜值在线，手机背面更是独一无二，手感很好，折叠屏几乎看不到折痕。系统运行流畅，拍照效果出色，图像清晰度高，色彩还原准确，支持多种拍摄模式和功能。电池容量适中，续航能力可以。
20809139888,5,"送给老婆的礼物，我们为什么选择pocket2？
外形外观：这是关键因素，带我把pure70和pocket2放在老婆面前，她就选pocket2。
屏幕音效：已经用了2个星期了，折痕如图，感觉不错，其实不影响肉眼观看，如果用手去摸的话还是能够摸到折痕的。
拍照效果：对手机拍照要求不算太高。可能它达不到其他品牌的影像旗舰那程度。但它的拍照已经够用了。
运行速度：不玩游戏，日常使用一点问题都没有，很流畅。
其他特色：手机壳真的很好看，折叠后终于可以放进小包包了"
20747641329,5,"铰链比较完美 甚至感觉比大折叠的铰链还舒服些
外观绝对好看 
用了一个多月了
还不错
习惯了小手机 以后估计直板就不喜欢了
原装手机膜一个月有明显折痕 有待交往
相机的颜色有点不习惯 会有失真的感觉
颜色偏暗 app的兼容度 老实说没有苹果的适配
京东的以旧换新 反正不管你怎么老实的上报手机情况 最后检查出来都会扣钱 做好心理准备就行了
电池的话 一直打游戏可以坚持大半天 正常使用的话到下午六七点还能剩个百分之七八十
晚上睡觉不充电基本不会掉电掉的很厉害"
20749660654,5,使用快两个月了，手感还不错，换上新衣服就是一整个美丽住了。拍照功能感觉还能再好点。自带的屏幕保护膜比较软，很容易被指甲划到，希望免费换新膜的次数多点。
20717630154,5,我终于遥遥领先了！！用了14年苹果，转化为，虽然还在适应用，虽然苹果生态在更替中，但是是我用定了！！为我大国货点赞！遥遥领先！！
20736228990,5,用了一个多月了，暂时还没发现啥缺点，非得要找个缺点就是我买的车载无限快充50W的充不上这款手机，得买80W的才支持。手机充电速度超级快，很平整，系统丝滑流畅，照人像特别好看。
20731144802,5,这款手机非常棒，在京东买的手机，华为手机是我们国家的荣耀喜欢华为做得越来越好，用为我们国家的民族品牌。
20790738073,5,超好看，收到Pocket2后顿时觉得I Phone15 Pro Max不香了，操控性很好，小巧轻便，值得拥有
20766337077,4,"外形外观：美观小巧，使用方便，随便哪个包都放得下
运行速度：运行流畅
待机时间：新机待机还可以，偶尔刷刷短视频，一整天不充电可以的
拍照效果：像素很清晰，也很真实
整体还是挺满意的，就是使用折叠的时候得小心些。"
20730296480,5,外观漂亮，老婆毫无抵抗力，这就值了，难得她对一件电子产品这么有兴趣，续航一般，毕竟折叠屏，给电池的空间有限，可以理解，其他用着都挺好
20536569866,5,样子很好看，白色很适合女生，质感很棒，做工扎实，屏幕颜色自然，感官舒适，对于女生来说，美就行了，内存大点，参数啥&hellip;&hellip;
20540253840,5,"外形外观：超好看，大溪地灰真的有质感！摸在手上也很舒服，小小巧巧的太完美了，喜欢😍不同的光线下和不同的角度都有不一样的颜色！

拍照效果：拍照效果挺不错的！

运行速度：非常快！手机反应速度，运行速度都很快！

整体来说，真的是爱不释手，第一次使用华为手机，也是第一次使用折叠手机！真的超值的！"
20561179250,5,pocket2非常值得购买，9000s芯片，1.5k分辨率，带无线充电，手机最高级别防水，所有需要的点华为都满足了。副屏虽然小，但是是所有折叠屏里的最好看的。加上超高的颜值，看不出来的折痕，估计又会成为爆款。真的会买。
20531228638,5,"第一时间抢购，华为的品质无可挑剔。
Pocket2的性能日常使用绰绰有余，女士使用首选。
拍照效果很棒，色彩还原优秀。"
20559449150,5,"手机非常好看，很喜欢，配上好看的手机壳绝绝子！
外形外观：超级好看！
屏幕音效：好好好，很清晰。
拍照效果：清楚清晰，喜欢"
20531938042,5,颜值在线，手感很好很舒服，看起来比上两部顺眼多了，且没有折痕。不过后背折叠地方的链接处很明显，可以摸得到。
20529519024,5,发布当天只看了照片和视频就下单了，主要看中颜值，也支持国产自主研发。后来老婆在实体店看到真机特别喜欢，每天盼星星盼月亮问什么时候发货。今天终于拿到手，给京东点赞，发货和快递都是神速。手机颜值超高，洛可可白低调中透着高雅，折叠屏造型也比较独特。操控丝滑度很好，屏幕滑动时感觉比较跟手。
